Net generation for all sectors,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.A~ELEC.GEN.COW-US-99.A~ELEC.GEN.NG-US-99.A~ELEC.GEN.NUC-US-99.A~ELEC.GEN.HYC-US-99.A~ELEC.GEN.WND-US-99.A~ELEC.GEN.TSN-US-99.A~ELEC.GEN.PEL-US-99.A~ELEC.GEN.PC-US-99.A~ELEC.GEN.OOG-US-99.A~ELEC.GEN.SUN-US-99.A~ELEC.GEN.GEO-US-99.A~ELEC.GEN.BIO-US-99.A~ELEC.GEN.WWW-US-99.A~ELEC.GEN.WAS-US-99.A~ELEC.GEN.HPS-US-99.A~ELEC.GEN.OTH-US-99.A~ELEC.GEN.DPV-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A~ELEC.GEN.COW-US-99.A~ELEC.GEN.NG-US-99.A~ELEC.GEN.NUC-US-99.A~ELEC.GEN.HYC-US-99.A~ELEC.GEN.WND-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2001&end=2018&chartindexed=2&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0",,,,,,,,,,,,,,,,,,,,
Sun Feb 23 2020 20:51:27 GMT+0000 (Greenwich Mean Time),,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-US-99.A,3736644,3858452,3883185,3970555,4055423,4064702,4156745,4119388,3950331,4125060,4100141,4047765,4065964,4093606,4077601,4076675,4034271,4174398
United States : coal,thousand megawatthours,ELEC.GEN.COW-US-99.A,1903956,1933130,1973737,1978301,2012873,1990511,2016456,1985801,1755904,1847290,1733430,1514043,1581115,1581710,1352398,1239149,1205835,1145962
United States : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-US-99.A,114647,78701,102734,100391,99840,44460,49505,31917,25972,23337,16086,13403,13820,18276,17372,13008,12414,16245
United States : petroleum coke,thousand megawatthours,ELEC.GEN.PC-US-99.A,10233,15867,16672,20754,22385,19706,16234,14325,12964,13724,14096,9787,13344,11955,10877,11197,8976,8981
United States : natural gas,thousand megawatthours,ELEC.GEN.NG-US-99.A,639129,691006,649908,710100,760960,816441,896590,882981,920979,987697,1013689,1225894,1124836,1126609,1333482,1378307,1296415,1468727
United States : other gases,thousand megawatthours,ELEC.GEN.OOG-US-99.A,9039,11463,15600,15252,13464,14177,13453,11707,10632,11313,11566,11898,12853,12022,13117,12807,12469,13463
United States : nuclear,thousand megawatthours,ELEC.GEN.NUC-US-99.A,768826,780064,763733,788528,781986,787219,806425,806208,798855,806968,790204,769331,789016,797166,797178,805694,804950,807084
United States : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-US-99.A,216961,264329,275806,268417,270321,289246,247510,254831,273445,260203,319355,276240,268565,259367,249080,267812,300333,292524
United States : wind,thousand megawatthours,ELEC.GEN.WND-US-99.A,6737,10354,11187,14144,17811,26589,34450,55363,73886,94652,120177,140822,167840,181655,190719,226993,254303,272650
United States : geothermal,thousand megawatthours,ELEC.GEN.GEO-US-99.A,13741,14491,14424,14811,14692,14568,14637,14840,15009,15219,15316,15562,15775,15877,15918,15826,15927,15967
United States : biomass,thousand megawatthours,ELEC.GEN.BIO-US-99.A,49748,53709,53341,53537,54277,54861,55539,55034,54493,56089,56671,57622,60858,63989,63632,62760,62762,61901
United States : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-US-99.A,-8823,-8743,-8535,-8488,-6558,-6558,-6896,-6288,-4627,-5501,-6421,-4950,-4681,-6174,-5091,-6686,-6495,-5905
United States : other,thousand megawatthours,ELEC.GEN.OTH-US-99.A,11906,13527,14045,14232,12821,12974,12231,11804,11928,12855,14154,13787,13588,13461,14028,13754,13096,12973
United States : all solar,thousand megawatthours,ELEC.GEN.TSN-US-99.A,543,555,534,575,550,508,612,864,891,1212,1818,4327,9036,28924,39032,54866,77276,93365
